s3url   id  filename    md5 size    state   experimental_strategy
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/4629c36d-b5ff-4a11-8c11-5c5a8180a4eb/G27518.SK-N-FI.2.bam e8385ceb-1e07-4176-8b80-4f9e75531007    G27518.SK-N-FI.2.bam    389dd919229350114440fab413d01fd8    19535760450 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/60088d4f-d4d8-4e39-bf4e-241941d54d92/G27275.TE-9.1.bam    82ffe43f-314e-474b-afe8-cb3a5d472743    G27275.TE-9.1.bam   acaa9a8ae862cfeb6ede0768578264c9    15196620427 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/8fbcbf13-7e18-4378-a367-6b11455b7e9d/G27349.CJM.1.bam 9cc8608b-cfaf-4598-9814-4ef8b6905460    G27349.CJM.1.bam    bbd91f4600dbf46f9c7c9c933ca2ff8f    20302253981 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/406a70ba-f415-4cfa-b597-9c83fb6a21b3/G28588.NCI-H1915.1.bam   47b982b3-c7ce-4ca7-8c86-c71c15979620    G28588.NCI-H1915.1.bam  54d85aa5024eb0cf69c9db7ef3da02c3    17672290930 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/391909b8-eb4b-494b-9952-302db740a457/G27381.CAL-33.1.bam  6630e532-e3e7-43c5-bfff-78d60d0ff3cf    G27381.CAL-33.1.bam e1ecb2753b8dc16ca41e024522e6080f    22188061451 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/ecfd1349-f493-4f96-b3a1-7b27cc434640/G27368.COLO-320.1.bam    8322e710-cd45-4e2d-89d5-e6118db78af8    G27368.COLO-320.1.bam   0b844061883ca23d02825de12363534d    18439205374 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected/d9ec1a2f-1900-496f-9dd0-2a0ab59d138b/G28831.J82.3.bam   1dc5aa91-51d0-4108-930b-2776135ed6aa    G28831.J82.3.bam    59d04d484e01e08ea8369673611a04cc    13157781195 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/8cd6ee32-5546-4e71-b2e1-88650402e1b6/G27277.OVSAHO.1.bam  b0912b5d-2b20-418c-88c8-eb6ff61275f8    G27277.OVSAHO.1.bam 0932017f7c0a0efac76b1d71ca943144    13432881676 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/a929f123-9bdc-4e32-a4c5-7aaef8c98c45/G25210.NCI-H510.1.bam    18004fb1-89a2-4ba1-a321-a0aa854e98c3    G25210.NCI-H510.1.bam   bb647f6638a901155a31d240bb90c316    14671152886 live    RNA-Seq
s3://uchig-genomics-pipeline-us-east-1/rnaseq/ccle_cghub_protected_3/e42bdd7a-e038-48d2-88bc-835bbdb3d877/G27495.SNU-1079.2.bam    5aa5d841-f357-45c2-a40a-ad5d9cdd9ed1    G27495.SNU-1079.2.bam   aec9249b6d729b702cb89d5048089bed    17759942243 live    RNA-Seq
